Toipic/Chapter Name,Video Description,Video URL
The Solid State,Three Dimentional Close packing,https://docs.google.com/spreadsheets/d/1ts20E23PpDPPznMl0cJVLjNWryXkkJva7BJ0ENPZd1Q/edit#gid=1073501300
The Solid State,"Soild State,Bragg's Equation",https://www.youtube.com/watch?v=VPGMcXu-Zb8&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=7
The Solid State,Crystal Lattices and Unit Cells,https://www.youtube.com/watch?v=eshOgjI7lVs&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=3
The Solid State,Three Dimational Close Packing,https://www.youtube.com/watch?v=7zs0ldF5Y0g&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=4
The Solid State,Packing Efficency And Crystal Deffects,https://www.youtube.com/watch?v=92HBc7Z0WmU&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=6
The Solid State,Numerical Problems In Soild State,https://www.youtube.com/watch?v=y5RcK7lR1oo&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=5
The Solid State,Numerical Problems In Soild State,https://www.youtube.com/watch?v=OjsDdSN9vp4&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=2
Solid State- Telugu Medium,Solid State- Telugu Medium,https://www.youtube.com/watch?v=FRsf8fBW8MA&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=30
Solutions,SOLUTIONS INTRODUCATION & MOLARTY,https://www.youtube.com/watch?v=gLxK28tznAU&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=8
Solutions,Solutions Normality - Molality - Mole Fraction,https://www.youtube.com/watch?v=7y4Gfyx7NMU&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=9
Solutions,Solutions Vapour Pressure Raoults Law,https://www.youtube.com/watch?v=ylkMTL5lxBM&list=PLMWDrUbeKoyKuepPrMYbjOl4Cjvl5YNgd&index=10
