Topic/Chapter Name,Video Description,Video URL
Three Dimensional Geometry,Part 1,https://www.youtube.com/watch?v=U7QrEwUa7vk&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT
Three Dimensional Geometry,Part 2,https://www.youtube.com/watch?v=Xyqfpi_YHHA&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=2
Three Dimensional Geometry,Part 3,https://www.youtube.com/watch?v=WuaKKc9ECaM&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=3
Three Dimensional Geometry,Part 4,https://www.youtube.com/watch?v=9y_Qs3NMhVM&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=4
Direction Cosines and Direction Ratios,Part 1,https://www.youtube.com/watch?v=DdLgbFd_2EM&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=6
Direction Cosines and Direction Ratios,Part 2,https://www.youtube.com/watch?v=KRUe8cwOSm0&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=5
The Planes,Part 1,https://www.youtube.com/watch?v=co8xviCf9SI&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=7
The Planes,Part 2,https://www.youtube.com/watch?v=kJFbzLtIwJc&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=8
The Planes,Part 3,https://www.youtube.com/watch?v=FpXAGw41FRE&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=9
DIFFERENTIATION,Class 1,https://www.youtube.com/watch?v=ChGcKZJ0c-U&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=13
DIFFERENTIATION,Class 2,https://www.youtube.com/watch?v=ON5QcYEedYQ&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=14
DIFFERENTIATION EX9A,Find the Derivatives Class 2,https://www.youtube.com/watch?v=ZBukqjqpKwE&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=73
DIFFERENTIATION,SECOND ORDER DERIVATIVES Class 2,https://www.youtube.com/watch?v=lAw47AGswB4&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=88
DIFFERENTIATION,Find the Derivatives Class 3,https://www.youtube.com/watch?v=lnozq0LipkM&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=65
DIFFERENTIATION,SECOND ORDER DERIVATIVES Class 3,https://www.youtube.com/watch?v=tekq3Avhkn8&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=85
DIFFERENTIATION,Class 3,https://www.youtube.com/watch?v=jt9ThU0o4Lc&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=44
DIFFERENTIATION,Derivative Class 4 ,https://www.youtube.com/watch?v=wphgCjZPsAA&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=69
DIFFERENTIATION,Class 4,https://www.youtube.com/watch?v=EjGnGr4ccr4&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=11
DIFFERENTIATION,Derivative Class 5,https://www.youtube.com/watch?v=LML4lsWjX9I&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=71
DIFFERENTIATION,Class 5,https://www.youtube.com/watch?v=1ogeo-li2E4&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=42
DIFFERENTIATION,Class 6,https://www.youtube.com/watch?v=owdnVpoY5rU&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=59
DIFFERENTIATION,Class 6,https://www.youtube.com/watch?v=EhPqg8z6kRE&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=10
DIFFERENTIATION,Find the Derivatives Class 7,https://www.youtube.com/watch?v=GhNS_15R4JQ&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=64
DIFFERENTIATION,Class 7,https://www.youtube.com/watch?v=2httki3fIYo&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=40
DIFFERENTIATION,Class 8,https://www.youtube.com/watch?v=Fz6i5tREWQs&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=66
DIFFERENTIATION,Class 8,https://www.youtube.com/watch?v=iGbcj_mUBeI&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=36
DIFFERENTIATION,Class 9 ,https://www.youtube.com/watch?v=7IUauBuMw6E&list=PLMWDrUbeKoyINtQ2ePQ3g-40LDiHyCqmT&index=68
