Topic/Chapter Name,Video Description,Video URL
Kinematics Motion In a Straight Line,Introduction Position Distance Displacement Velocity and Speed,https://www.youtube.com/watch?v=KCQuMBg6sm8&list=PLMWDrUbeKoyIuRn8j_6LAcEx_ZT9Qnlbh
Kinematic Equations,Acceleration Kinematics Equations For Uniformly Accelerated Motion,https://www.youtube.com/watch?v=sem_2QQhR_4&list=PLMWDrUbeKoyIuRn8j_6LAcEx_ZT9Qnlbh&index=2
Acceleration Due to Gravity,Acceleration Due to Gravity Freely Falling Body,https://www.youtube.com/watch?v=nRrMMNbc0os&list=PLMWDrUbeKoyIuRn8j_6LAcEx_ZT9Qnlbh&index=3
Kinematic - Unfrom Speed,Unifor SPeed - 1,https://www.youtube.com/watch?v=4NM1Z2C_N88&list=PLMWDrUbeKoyIuRn8j_6LAcEx_ZT9Qnlbh&index=4
Kinematic - Numerical Problems - 1,Kinematic - Numerical Problems - 1,https://www.youtube.com/watch?v=JA-3Pr-pcRQ&list=PLMWDrUbeKoyIuRn8j_6LAcEx_ZT9Qnlbh&index=5
Kinematic - Numerical Problems - 2,Kinematic - Numerical Problems - 2,https://www.youtube.com/watch?v=xHpHUpPxvBU&list=PLMWDrUbeKoyIuRn8j_6LAcEx_ZT9Qnlbh&index=6
Physical World,"Fundamental Forces In Nature, Nature of Physical Laws",https://www.youtube.com/watch?v=tj_fspSNwas&list=PLMWDrUbeKoyIuRn8j_6LAcEx_ZT9Qnlbh&index=7
Units and Measurements,"Introduction - Measures of Length, Mass, Time",https://www.youtube.com/watch?v=7tVVr9cAMNA&list=PLMWDrUbeKoyIuRn8j_6LAcEx_ZT9Qnlbh&index=8
Units and Measurements,Significate Figures Dimension Of Physics Quantities,https://www.youtube.com/watch?v=dht3BWa456o&list=PLMWDrUbeKoyIuRn8j_6LAcEx_ZT9Qnlbh&index=9
Kinematic - Numerical Problems - 3,Kinematic - Numerical Problems - 3,https://www.youtube.com/watch?v=0qmMLkV0cro&list=PLMWDrUbeKoyIuRn8j_6LAcEx_ZT9Qnlbh&index=10
Laws of Motion,Newton's Laws of Motion,https://www.youtube.com/watch?v=tmx96SL94KY&list=PLMWDrUbeKoyIuRn8j_6LAcEx_ZT9Qnlbh&index=12
Laws of Motion,Newton's Laws of Motion,https://www.youtube.com/watch?v=m42oofwqhvY&list=PLMWDrUbeKoyIuRn8j_6LAcEx_ZT9Qnlbh&index=13
Laws of Motion,Newton's Laws of Motion,https://www.youtube.com/watch?v=SvjCaUxJuj0&list=PLMWDrUbeKoyIuRn8j_6LAcEx_ZT9Qnlbh&index=14
Laws of Motion,Laws of Conversation of Linear Momentum,https://www.youtube.com/watch?v=lzTd7kG4Yqk&list=PLMWDrUbeKoyIuRn8j_6LAcEx_ZT9Qnlbh&index=15
Laws of Motion,Laws of Conversation of Linear Momentum,https://www.youtube.com/watch?v=kug-2l1ELgE&list=PLMWDrUbeKoyIuRn8j_6LAcEx_ZT9Qnlbh&index=16
Laws of Motion,Laws of Conversation of Linear Momentum,https://www.youtube.com/watch?v=7r2PtVpL8As&list=PLMWDrUbeKoyIuRn8j_6LAcEx_ZT9Qnlbh&index=17
Laws of Motion,"Natural Forces, Mechanical Forces",https://www.youtube.com/watch?v=QP4KhX_Ch3o&list=PLMWDrUbeKoyIuRn8j_6LAcEx_ZT9Qnlbh&index=11
"Work, Energy and Power",Scalar Product & Kinetic Energy,https://www.youtube.com/watch?v=gNpQ66iuoyM&list=PLMWDrUbeKoyIuRn8j_6LAcEx_ZT9Qnlbh&index=19
"Work, Energy and Power",Conservation of Energy,https://www.youtube.com/watch?v=RBSO0JJVp9k&list=PLMWDrUbeKoyIuRn8j_6LAcEx_ZT9Qnlbh&index=20
"Work, Energy and Power",Potential Energy of a Spring,https://www.youtube.com/watch?v=T3NEdLUkZG0&list=PLMWDrUbeKoyIuRn8j_6LAcEx_ZT9Qnlbh&index=21
"Work, Energy and Power",One Dimentional Elastic Collision,https://www.youtube.com/watch?v=zJewIhWR-G8&list=PLMWDrUbeKoyIuRn8j_6LAcEx_ZT9Qnlbh&index=18
Motion in a Straight line,Motion in a Straight line,https://www.youtube.com/watch?v=sNSM6ZOlqOE&list=PLMWDrUbeKoyIuRn8j_6LAcEx_ZT9Qnlbh&index=26
Motion in a Straight line,"Unit 3 - Uniform, Non-Uniform and Average Speed",https://www.youtube.com/watch?v=ifB5XVjeL64&list=PLMWDrUbeKoyIuRn8j_6LAcEx_ZT9Qnlbh&index=22
Motion in a Straight line,Unit 3 - Acceleration,https://www.youtube.com/watch?v=gXsTWMYnAOU&list=PLMWDrUbeKoyIuRn8j_6LAcEx_ZT9Qnlbh&index=23
Motion in a Straight line,Motion in a Straight line,https://www.youtube.com/watch?v=2zZW5p9YXHY&list=PLMWDrUbeKoyIuRn8j_6LAcEx_ZT9Qnlbh&index=24
Motion in a Straight line,Motion in a Straight line,https://www.youtube.com/watch?v=AvZTYB3L9PU&list=PLMWDrUbeKoyIuRn8j_6LAcEx_ZT9Qnlbh&index=25
