Topic/Chapter Name,Video Description,Video URL
Complex Numbers,Part 1,https://www.youtube.com/watch?v=XBtTjK-kl50&list=PLMWDrUbeKoyI6bX_OKXjy0Rw0qOPykDYH
Complex Numbers,Part 2,https://www.youtube.com/watch?v=O8iG0DrtSTA&list=PLMWDrUbeKoyI6bX_OKXjy0Rw0qOPykDYH&index=2
Complex Numbers,Part 3,https://www.youtube.com/watch?v=mgXafDdh-r4&list=PLMWDrUbeKoyI6bX_OKXjy0Rw0qOPykDYH&index=3
Complex Numbers,Part 4,https://www.youtube.com/watch?v=iJdmv1To3kA&list=PLMWDrUbeKoyI6bX_OKXjy0Rw0qOPykDYH&index=4
Complex Numbers,Part 5,https://www.youtube.com/watch?v=RWviedFm7wo&list=PLMWDrUbeKoyI6bX_OKXjy0Rw0qOPykDYH&index=5
Complex Numbers,Part 6,https://www.youtube.com/watch?v=zE_I_tbincI&list=PLMWDrUbeKoyI6bX_OKXjy0Rw0qOPykDYH&index=6
Complex Numbers,Part 7,https://www.youtube.com/watch?v=a7R-JCWSY3A&list=PLMWDrUbeKoyI6bX_OKXjy0Rw0qOPykDYH&index=7
Complex Numbers,Part 8,https://www.youtube.com/watch?v=I2Gx12MB-pc&list=PLMWDrUbeKoyI6bX_OKXjy0Rw0qOPykDYH&index=8
Complex Numbers,Part 9,https://www.youtube.com/watch?v=spW9hbuERos&list=PLMWDrUbeKoyI6bX_OKXjy0Rw0qOPykDYH&index=9
Complex Numbers,Part 10,https://www.youtube.com/watch?v=S-t75GQW1vI&list=PLMWDrUbeKoyI6bX_OKXjy0Rw0qOPykDYH&index=10
Quadratic Expressions,Part 1,https://www.youtube.com/watch?v=X9bKAlzaMVI&list=PLMWDrUbeKoyI6bX_OKXjy0Rw0qOPykDYH&index=16
Quadratic Expressions,Part 2,https://www.youtube.com/watch?v=mon4A7ceQRA&list=PLMWDrUbeKoyI6bX_OKXjy0Rw0qOPykDYH&index=17
Quadratic Expressions,Part 3,https://www.youtube.com/watch?v=Mhzk5vpJ3AE&list=PLMWDrUbeKoyI6bX_OKXjy0Rw0qOPykDYH&index=18
Quadratic Expressions,Part 5,https://www.youtube.com/watch?v=4bGbkpiqS-A&list=PLMWDrUbeKoyI6bX_OKXjy0Rw0qOPykDYH&index=22
Quadratic Expressions,Part 6,https://www.youtube.com/watch?v=zL0F767fS3I&list=PLMWDrUbeKoyI6bX_OKXjy0Rw0qOPykDYH&index=21
De Moivre’s Theorem,Part 1,https://www.youtube.com/watch?v=EQvn_ejoI4g&list=PLMWDrUbeKoyI6bX_OKXjy0Rw0qOPykDYH&index=12
De Moivre’s Theorem,Part 2,https://www.youtube.com/watch?v=aJRWF4EfMik&list=PLMWDrUbeKoyI6bX_OKXjy0Rw0qOPykDYH&index=13
De Moivre’s Theorem,Part 3,https://youtu.be/JNe41H6oyas
De Moivre’s Theorem,Part 4,https://www.youtube.com/watch?v=DwVDHtFnQD0&list=PLMWDrUbeKoyI6bX_OKXjy0Rw0qOPykDYH&index=15
De Moivre’s Theorem,Geometrical Representation of Cube Roots of Unity Part 5,https://www.youtube.com/watch?v=i0snakZYe3k&list=PLMWDrUbeKoyI6bX_OKXjy0Rw0qOPykDYH&index=19
De Moivre’s Theorem,Geometrical Representation of Cube Roots of Unity Part 6,https://www.youtube.com/watch?v=ihRpajdQxWA&list=PLMWDrUbeKoyI6bX_OKXjy0Rw0qOPykDYH&index=20
Theory of Equations,Part 1,https://www.youtube.com/watch?v=IMITIK0PV_I&list=PLMWDrUbeKoyI6bX_OKXjy0Rw0qOPykDYH&index=24
