Topic/Chapter Name,Video Description,Video URL
Excretory products and their Elimination,Part -1,https://www.youtube.com/watch?v=pvyRyKBu4c4&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35&index=6
Excretory products and their Elimination,Part -2,https://www.youtube.com/watch?v=7wLv_T6nGpE&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35&index=2
Excretory products and their Elimination,Part -3,https://www.youtube.com/watch?v=-gcGuGQ3-fY&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35&index=3
Excretory products and their Elimination,Part -4,https://www.youtube.com/watch?v=a1fobW0CyhI&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35&index=7
Excretory products and their Elimination,Part -5,https://www.youtube.com/watch?v=ThpoPvkwSss&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35&index=5
Excretory products and their Elimination,Part -6,https://www.youtube.com/watch?v=05QQpcHwlAE&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35&index=4
Excretory products and their Elimination,Part -7,https://www.youtube.com/watch?v=M8yF0xuVkxU&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35
Excretory products and their Elimination,Part -8,https://www.youtube.com/watch?v=kWrxR1BK21k&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35&index=10
Breathing & Exchange Of Gases,Part -1,https://www.youtube.com/watch?v=m9G69CUyAPY&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35&index=9
Breathing & Exchange Of Gases,Part -1,https://www.youtube.com/watch?v=pA9c_zd1VB8&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35&index=30
Breathing & Exchange Of Gases,human respiratory system Part -2,https://www.youtube.com/watch?v=Vf4zK0qODAE&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35&index=36
Breathing & Exchange Of Gases,Part -2,https://www.youtube.com/watch?v=6GNKUYLG9ws&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35&index=8
Breathing & Exchange Of Gases,human respiratory system Part -3,https://www.youtube.com/watch?v=SdHX5k-AISM&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35&index=14
Breathing & Exchange Of Gases,Part -4,https://www.youtube.com/watch?v=XjJqM4SR9Mg&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35&index=13
Breathing & Exchange Of Gases,prosseses - respiration Part -5,https://www.youtube.com/watch?v=ytJYumCOlQg&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35&index=16
Breathing & Exchange Of Gases,Part -6,https://www.youtube.com/watch?v=UNI5-bm3Uws&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35&index=15
Breathing & Exchange Of Gases,Part -7,https://www.youtube.com/watch?v=Aih5jXt-tjg&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35&index=17
Breathing & Exchange Of Gases,Part -8,https://www.youtube.com/watch?v=n00Q3KsxmV0&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35&index=18
Breathing & Exchange Of Gases,Part -9,https://www.youtube.com/watch?v=7lJbfBuDcZg&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35&index=19
HUMAN MALE REPRODUCTIVE SYSTEM,Part -7,https://www.youtube.com/watch?v=FR0Mqlcb7GQ&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35&index=31
HUMAN MALE REPRODUCTIVE SYSTEM,Part -1,https://www.youtube.com/watch?v=2i3rCHwiM20&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35&index=11
HUMAN MALE REPRODUCTIVE SYSTEM,Part -2,https://www.youtube.com/watch?v=ZOcIJcrOku4&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35&index=32
Immune System,Part -1,https://www.youtube.com/watch?v=9tubz7VTMEw&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35&index=12
Immune System,Part -2,https://www.youtube.com/watch?v=qnlrE2f14PQ&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35&index=37
Endocrine System & Chemical Coordination,homeostasis Part -1,https://www.youtube.com/watch?v=mJYbDBRKPqY&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35&index=20
Endocrine System & Chemical Coordination,pituitary gland Part -2,https://www.youtube.com/watch?v=K9Ex6DISzyE&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35&index=21
Endocrine System & Chemical Coordination,adrenal gland Part -3,https://www.youtube.com/watch?v=z5R-CmrXb1g&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35&index=22
Endocrine System & Chemical Coordination,mechanism of hormonal action Part -4,https://www.youtube.com/watch?v=_ywUPlG52cA&list=PLMWDrUbeKoyJ-k6e6pM7F6HxKSkNyoB35&index=23
